Row_ID,Order_iD,Order_Date,Order_Priority,Order_Quantity,Sales,Discount,Ship Mode,Profit,Unit_Price,Shipping_Cost,Customer_Name,Province,Region,Customer_Segment,Product_Category,Product_Sub_Category,Product_Name,Product_Container,Product_Base_Margin,Ship_Date
1,3,13/10/2010,Low,6,262,0.04,Regular Air,-213,39,35,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,20/10/2010
49,293,01/10/2012,High,49,10123,0.07,Delivery Truck,458,208,68.02,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,02/10/2012
50,293,01/10/2012,High,27,245,0.01,Regular Air,47,9,2.99,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,03/10/2012
80,483,10/07/2011,High,30,4966,0.08,Regular Air,1199,196,3.99,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,12/07/2011
85,515,28/08/2010,Not Specified,19,394,0.08,Regular Air,31,22,5.94,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,30/08/2010
86,515,28/08/2010,Not Specified,21,147,0.05,Regular Air,4,7,4.95,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,30/08/2010
97,613,17/06/2011,High,12,94,0.03,Regular Air,-54,7,7.72,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,17/06/2011
98,613,17/06/2011,High,22,905,0.09,Regular Air,128,43,6.22,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,0,18/06/2011
103,643,24/03/2011,High,21,2782,0.07,Express Air,-695,138,35,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,0,25/03/2011
107,678,26/02/2010,Low,44,228,0.07,Regular Air,-226,5,8.33,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,26/02/2010
127,807,23/11/2010,Medium,45,197,0.01,Regular Air,-167,4,6.18,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,24/11/2010
128,807,23/11/2010,Medium,32,125,0.04,Regular Air,-14,4,2,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,24/11/2010
134,868,08/06/2012,Not Specified,32,717,0,Regular Air,135,22,5.94,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,09/06/2012
135,868,08/06/2012,Not Specified,31,1474,0.04,Regular Air,114,48,3.61,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,10/06/2012
149,933,04/08/2012,Not Specified,15,81,0.02,Regular Air,-5,5,2.99,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,04/08/2012
160,995,30/05/2011,Medium,46,1815,0.03,Regular Air,783,40,3.04,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,31/05/2011
161,998,25/11/2009,Not Specified,16,248,0.07,Regular Air,94,16,1.39,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,26/11/2009
175,1154,14/02/2012,Critical,44,4462,0.04,Delivery Truck,441,101,26.22,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,16/02/2012
176,1154,14/02/2012,Critical,11,664,0.25,Regular Air,-481,71,69,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,16/02/2012
203,1344,15/04/2012,Low,15,835,0.06,Regular Air,-12,66,5.26,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,22/04/2012
204,1344,15/04/2012,Low,18,2481,0.01,Regular Air,314,156,8.99,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,19/04/2012
213,1412,12/03/2010,Not Specified,13,59,0.1,Express Air,27,4,0.5,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,14/03/2010
214,1412,12/03/2010,Not Specified,21,97,0.05,Regular Air,-6,5,0.7,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,14/03/2010
229,1539,09/03/2011,Low,33,512,0.1,Regular Air,-173,16,13.18,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,11/03/2011
